                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                0.09982,                0.10132,                0.81552,                0.96422,                0.87179,                0.95841,                0.52831,                 1.4995,                0.83482,                 2.7018,               0.003862,               0.003862,               0.003862
                     95,                0.09783,                0.09792,                0.81748,                0.94272,                0.84402,                 0.9562,                0.52364,                  1.454,                0.83344,                 2.6389,               0.003796,               0.003796,               0.003796
                     96,                0.09669,                0.09802,                0.81562,                      1,                0.81968,                0.95382,                0.51261,                  1.479,                0.83458,                 2.7701,                0.00373,                0.00373,                0.00373
                     97,                0.09574,                0.09648,                0.81345,                0.95858,                0.84615,                0.93526,                0.51562,                 1.5104,                0.91104,                 2.7082,               0.003664,               0.003664,               0.003664
                     98,                  0.095,                0.09626,                0.81704,                0.97048,                0.84307,                0.95075,                0.51601,                 1.5269,                 0.8473,                 2.7577,               0.003598,               0.003598,               0.003598
                     99,                0.09535,                0.09709,                0.81546,                      1,                0.84376,                0.93966,                 0.5238,                 1.4674,                0.90078,                 2.6682,               0.003532,               0.003532,               0.003532
                    100,                0.08955,                0.09248,                0.81539,                      1,                0.84123,                0.94084,                0.52739,                 1.5156,                0.89733,                 2.7734,               0.003466,               0.003466,               0.003466
                    101,                0.09055,                0.09252,                0.81655,                0.99965,                0.84615,                0.92711,                0.53806,                 1.4457,                0.89194,                 2.6985,                 0.0034,                 0.0034,                 0.0034
                    102,                0.08866,                0.08995,                0.81485,                 0.9963,                0.82051,                0.93209,                0.54226,                 1.4399,                0.87446,                 2.6728,               0.003334,               0.003334,               0.003334
                    103,                0.08662,                0.08986,                 0.8159,                0.99709,                0.82051,                0.93802,                0.52527,                 1.4436,                0.86698,                 2.6981,               0.003268,               0.003268,               0.003268
                    104,                0.08657,                0.09025,                0.81638,                0.98794,                0.82051,                0.94585,                0.52372,                 1.5105,                0.89802,                 2.7369,               0.003202,               0.003202,               0.003202
                    105,                0.08406,                0.08715,                0.81705,                0.96509,                0.82051,                0.90812,                0.51217,                 1.4753,                0.94061,                 2.6275,               0.003136,               0.003136,               0.003136
                    106,                0.08446,                0.08679,                0.81429,                0.98999,                0.82051,                0.91161,                0.50782,                  1.499,                0.90947,                 2.6786,                0.00307,                0.00307,                0.00307
                    107,                 0.0816,                0.08573,                0.81316,                0.99297,                0.82051,                0.89872,                0.50847,                 1.4815,                0.90922,                 2.6857,               0.003004,               0.003004,               0.003004
